"SADER-JARVIS METHOD"
""
"============================"
"amplitude = ",1.e-10,"(m)"
"k = ",2000,"(N/m)"
"f0 = ",20000,"(Hz)"
"Is force curve valid? ","YES"
"============================"
""
"Distance (m)","Force (N)"
8.8999996e-10,-1.0196143815271521e-11
8.9249996e-10,-1.0665920606598377e-11
8.9499996e-10,-1.1627692851193243e-11
8.9749996e-10,-1.9103646418497696e-11
8.9999996e-10,-2.3149616461373687e-11
9.0249996e-10,-7.1363353581031275e-12
9.0499996e-10,-8.882002767354857e-12
9.0749996e-10,-1.1287064038176807e-11
9.0999996e-10,-3.3742731569259208e-12
9.1249996e-10,-1.1273264224665714e-11
9.1499996e-10,-1.846069388980343e-11
9.1749996e-10,-1.9030756927143074e-11
9.1999997e-10,-1.5873005977198772e-11
9.2249997e-10,-8.172081632108142e-12
9.2499997e-10,-8.371921053895139e-12
9.2749997e-10,-8.8276419682017e-12
9.2999997e-10,-7.50890272421218e-12
9.3249997e-10,-4.5663096739869e-12
9.3499997e-10,-6.960969022250761e-12
9.3749997e-10,-1.20723229128289e-11
9.3999997e-10,-6.6522560881337625e-12
9.4249997e-10,-6.652867714790736e-12
9.4499997e-10,-5.019235026753588e-12
9.4749997e-10,4.307031311494315e-12
9.4999997e-10,3.82654023861656e-12
9.5249997e-10,-1.0308867115346213e-11
9.5499997e-10,-2.275950609163544e-12
9.5749997e-10,-1.289199176616132e-12
9.5999997e-10,-9.08521510022164e-12
9.6249997e-10,-5.365509646097578e-12
9.6499997e-10,-1.0194024050023313e-11
9.6749997e-10,-8.311699873248091e-12
9.6999997e-10,-3.031432345828303e-13
9.7249997e-10,-4.099890470535265e-12
9.7499997e-10,-1.3512550385728907e-11
9.7749997e-10,-7.2055452856321376e-12
9.7999997e-10,-3.571325795254785e-12
9.8249997e-10,-2.8638786789176665e-12
9.8499997e-10,-2.2526193265881045e-12
9.8749997e-10,-3.5196767989084786e-12
9.8999997e-10,-2.0234644805746392e-12
9.9249997e-10,-2.9234941373202866e-12
9.9499997e-10,4.136036937058082e-12
