Experiment	Z spectroscopy	
Saved Date	29.08.2024 16:24:32	
User		
Date		
X (m)	379.778E-9	
Y (m)	-209.886E-9	
Z (m)	-78.8045E-9	
Z offset (m)	1E-9	
Z sweep distance (m)	1E-9	
Settling time (s)	50E-3	
Integration time (s)	400E-3	
Final Z (m)	N/A	
Start time	29.08.2024 16:21:30	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	LI Demod 1 X (A)	LI Demod 1 Y (A)
662.49994E-12	1.0960219E-12	500.00000E-3	-141.87884E-3	79.844333E-12	-188.30563E-3	377.72456E-6	-2.4024602E-12	44.502745E-15
659.99994E-12	1.0891470E-12	500.00000E-3	-154.90814E-3	79.929487E-12	-230.11190E-3	369.14789E-6	-2.3594857E-12	14.075544E-15
657.49994E-12	1.0860050E-12	500.00000E-3	-73.430978E-3	79.943017E-12	-202.51204E-3	407.17318E-6	-2.3922906E-12	23.985908E-15
654.99994E-12	1.0890841E-12	500.00000E-3	370.38895E-3	79.995212E-12	-154.24599E-3	382.70964E-6	-2.3991939E-12	-4.8469563E-15
652.49994E-12	1.0876082E-12	500.00000E-3	-53.022627E-3	80.049141E-12	-163.52637E-3	356.53060E-6	-2.3561433E-12	11.496181E-15
649.99994E-12	1.0860833E-12	500.00000E-3	-187.25644E-3	80.074038E-12	-198.36845E-3	353.82184E-6	-2.4072036E-12	24.099592E-15
647.49994E-12	1.0883564E-12	500.00000E-3	53.223457E-3	79.880311E-12	-180.57775E-3	363.38746E-6	-2.3848063E-12	7.2559578E-15
644.99994E-12	1.0859925E-12	500.00000E-3	72.623335E-3	80.076286E-12	-165.78420E-3	335.35663E-6	-2.3919770E-12	22.083477E-15
642.49994E-12	1.0801949E-12	500.00000E-3	-237.51505E-3	80.029317E-12	-207.37273E-3	343.83513E-6	-2.3910171E-12	23.185135E-15
639.99994E-12	1.0768739E-12	500.00000E-3	-150.93572E-3	79.981279E-12	-199.71958E-3	347.24237E-6	-2.4016457E-12	9.7158838E-15
637.49994E-12	1.0775455E-12	500.00000E-3	-19.421834E-3	79.897554E-12	-189.00779E-3	378.30573E-6	-2.3483188E-12	19.966520E-15
634.99994E-12	1.0708227E-12	500.00000E-3	46.223387E-3	79.965916E-12	-205.74808E-3	345.20176E-6	-2.3952511E-12	15.806050E-15
632.49994E-12	1.0659740E-12	500.00000E-3	-105.44532E-3	79.917135E-12	-231.11233E-3	384.58739E-6	-2.3934953E-12	10.026711E-15
629.99994E-12	1.0714745E-12	500.00000E-3	-129.21154E-3	80.071741E-12	-233.18914E-3	371.14607E-6	-2.3781374E-12	31.899349E-15
627.49994E-12	1.0662012E-12	500.00000E-3	215.88999E-3	80.199632E-12	-200.98159E-3	300.80925E-6	-2.3682467E-12	20.492204E-15
624.99994E-12	1.0605374E-12	500.00000E-3	-243.06630E-3	79.922548E-12	-231.02100E-3	341.51235E-6	-2.3814653E-12	574.98561E-18
622.49994E-12	1.0625183E-12	500.00000E-3	369.94204E-3	79.938868E-12	-187.39890E-3	331.23052E-6	-2.3626116E-12	17.115869E-15
619.99994E-12	1.0618409E-12	500.00000E-3	-305.43941E-3	80.183332E-12	-230.68693E-3	292.15764E-6	-2.3797182E-12	9.7832094E-15
617.49994E-12	1.0637325E-12	500.00000E-3	112.84969E-3	79.883385E-12	-213.75503E-3	351.33859E-6	-2.3853237E-12	27.457578E-15
614.99994E-12	1.0596505E-12	500.00000E-3	-84.878683E-3	79.869618E-12	-254.17206E-3	390.25489E-6	-2.3980241E-12	-12.763003E-15
612.49994E-12	1.0602976E-12	500.00000E-3	40.459086E-6	80.106720E-12	-226.43366E-3	316.98027E-6	-2.3866276E-12	23.439958E-15
609.99994E-12	1.0549846E-12	500.00000E-3	38.095750E-3	79.894119E-12	-224.35808E-3	355.16600E-6	-2.3821789E-12	48.223558E-15
607.49994E-12	1.0585798E-12	500.00000E-3	-245.26182E-3	80.008146E-12	-278.69609E-3	382.34281E-6	-2.3854117E-12	34.862704E-15
604.99994E-12	1.0583113E-12	500.00000E-3	98.897658E-3	80.077896E-12	-207.45201E-3	354.16594E-6	-2.3966629E-12	13.102938E-15
